id,image,rectangles
16,https://storage.yandexcloud.net/garbage-images/DJI_0034-5425.jpg,"((0.3832252085264133, 0.45088044485634843), (0.17857482561826252, 0.2577124286620165))"
17,https://storage.yandexcloud.net/garbage-images/DJI_0013-300.jpg,"((0.41195551436515293, 0.5064874884151992), (0.11265575120996807, 0.22139841416949851))"
18,https://storage.yandexcloud.net/garbage-images/DJI_0037-950.jpg,"((0.1098239110287303, 0.15152919369786838), (0.5299540266328471, 0.6486604311984782))"
19,https://storage.yandexcloud.net/garbage-images/DJI_0034-1125.jpg,"((0.42029657089898054, 0.45088044485634843), (0.017311350665821176, 0.05193405199746354))"
20,https://storage.yandexcloud.net/garbage-images/DJI_0013-1275.jpg,"((0.38229842446709916, 0.5027803521779425), (0.020698177324683348, 0.17063124292039955))"
22,https://storage.yandexcloud.net/garbage-images/DJI_0034-1625.jpg,"((0.21598202797207616, 0.24197810526796798), (0.4912676078904875, 0.5364377808761032))"
23,https://storage.yandexcloud.net/garbage-images/DJI_0034-5325.jpg,"((0.28921756218562616, 0.31446371986477684), (0.5513654889627676, 0.5844277080045779))"
24,https://storage.yandexcloud.net/garbage-images/DJI_0071-1125.jpg,"((0.5613515446497201, 0.7663050527489503), (0.3917831826499139, 1))"
25,https://storage.yandexcloud.net/garbage-images/DJI_0013-825.jpg,"((0.4199813821601874, 0.5010873569188273), (0.5277368443125258, 0.643565206700756))"
26,https://storage.yandexcloud.net/garbage-images/DJI_0037-275.jpg,"((0.6487240643345002, 0.6586898269607039), (0.5255554698954127, 0.5534146469211458))"
27,https://storage.yandexcloud.net/garbage-images/DJI_0027-275.jpg,"((0.8084786353308961, 0.8228344760937628), (0.3539839450154342, 0.3951501359979703)) ((0.5368121708189921, 0.584073308842481), (0.5088761445245359, 0.573923704187557)) ((0.15044543707817726, 0.17760235363536842), (0.7508202264324486, 0.8261744554812726))"
28,https://storage.yandexcloud.net/garbage-images/DJI_0018-1600.jpg,"((0, 0.035294778977350415), (0.245796194473639, 0.36366194342866376))"
29,https://storage.yandexcloud.net/garbage-images/DJI_0063-1075.jpg,"((0.3525087633211798, 0.4108638308643185), (0.5360605285690823, 0.6410321125360072)) ((0.3418360380565664, 0.3670768840443942), (0.1728335117186748, 0.23126265174396604))"
30,https://storage.yandexcloud.net/garbage-images/DJI_0080-1575.jpg,"((0.37429853747443936, 0.46967782042041756), (0.18881372531068358, 0.3118876451209611))"
31,https://storage.yandexcloud.net/garbage-images/DJI_0097-1375.jpg,"((0.2457080519863099, 0.31395235334397326), (0.5461789706956911, 0.6827321183321721))"
33,https://storage.yandexcloud.net/garbage-images/DJI_0071-875.jpg,"((0.7718175795513589, 0.9590544371000139), (0.3088390320007127, 0.9276233799910516))"
36,https://storage.yandexcloud.net/garbage-images/DJI_0071-2050.jpg,"((0.15246454543442844, 0.4177408331489936), (0.0012017928357353543, 0.6982865160147846))"
39,https://storage.yandexcloud.net/garbage-images/DJI_0079-250.jpg,"((0.08304639498163593, 0.20774390296227643), (0.7298751291716573, 0.9147337155640104))"
40,https://storage.yandexcloud.net/garbage-images/DJI_0089-675.jpg,"((0.3745609217496767, 0.45367009347933035), (0.22932959909814696, 0.352568656693049))"
41,https://storage.yandexcloud.net/garbage-images/DJI_0080-500.jpg,"((0.818295260815341, 0.911706655682559), (0.2519470670205187, 0.3926781198869552))"
45,https://storage.yandexcloud.net/garbage-images/DJI_0080-1400.jpg,"((0.45829471733086186, 0.5579240037071362), (0.23792802790107798, 0.3760066582117946))"
46,https://storage.yandexcloud.net/garbage-images/DJI_0097-1200.jpg,"((0.278498609823911, 0.3461538461538461), (0.5492232086239696, 0.6893627140139504))"
47,https://storage.yandexcloud.net/garbage-images/DJI_0042-750.jpg,"((0.6069054530086155, 0.6588627480005491), (0.518336797482327, 0.6182200659362597)) ((0.3278444976487145, 0.38650595973638135), (0.7240665145963973, 0.8433301187204961))"
48,https://storage.yandexcloud.net/garbage-images/DJI_0018-1775.jpg,"((0.23493975903614459, 0.30074142724745134), (0.4010462904248573, 0.5395370957514267)) ((0.5444856348470806, 0.5732159406858202), (0.1949587824984147, 0.24112238427393787))"
49,https://storage.yandexcloud.net/garbage-images/DJI_0063-1100.jpg,"((0.3433734939759036, 0.3767377201112141), (0.19506182625237792, 0.2527663284717819)) ((0.36283595922150136, 0.4165894346617238), (0.5346940393151554, 0.6418595434369054))"
50,https://storage.yandexcloud.net/garbage-images/DJI_0027-300.jpg,"((0.06348470806302131, 0.19138090824837814), (0.7342897907419149, 0.8612396956246036)) ((0.4721964782205746, 0.5333642261353104), (0.4919308814204185, 0.5677710843373494)) ((0.9763670064874884, 0.9967562557924002), (0.05502536461636017, 0.10448636651870641))"
52,https://storage.yandexcloud.net/garbage-images/DJI_0037-300.jpg,"((0.6037627741199841, 0.633442680533387), (0.5065397784485896, 0.5702091504419236))"
56,https://storage.yandexcloud.net/garbage-images/DJI_0080-1400.jpg,"((0.43640897755610975, 0.5935162094763092), (0.22597289670560441, 0.39676958918493244))"
57,https://storage.yandexcloud.net/garbage-images/DJI_0097-1200.jpg,"((0.2718204488778055, 0.344139650872818), (0.5428894868092926, 0.6937229295183095))"
58,https://storage.yandexcloud.net/garbage-images/DJI_0042-750.jpg,"((0.6045521117504488, 0.6489560781185424), (0.5314490155248178, 0.6190391380842072)) ((0.33238902537186205, 0.3906881104673862), (0.7308105828225689, 0.8441941157061957))"
59,https://storage.yandexcloud.net/garbage-images/DJI_0018-1775.jpg,"((0.2095876323209466, 0.2954000191137383), (0.3751936531923926, 0.5679632845916128))"
60,https://storage.yandexcloud.net/garbage-images/DJI_0063-1100.jpg,"((0.35841962396854926, 0.4142558381069247), (0.5280430737480468, 0.6317389000050297)) ((0.3425333167507615, 0.3730212390363594), (0.1987752271085474, 0.2526157500291915))"
61,https://storage.yandexcloud.net/garbage-images/DJI_0027-300.jpg,"((0.4728938079341831, 0.5379337936338292), (0.49632170402784587, 0.5841902725929735))"
62,https://storage.yandexcloud.net/garbage-images/DJI_0013-950.jpg,"((0.1869245217069079, 0.2859928961511408), (0.7433932940661186, 0.8861369733728629))"
63,https://storage.yandexcloud.net/garbage-images/DJI_0037-300.jpg,"((0.5971089691995759, 0.631469716361653), (0.499500935104224, 0.5701778272109571))"
64,https://storage.yandexcloud.net/garbage-images/DJI_0034-3225.jpg,"((0.1886994347535275, 0.2114244427366945), (0.245450509068185, 0.27716983600047923))"
66,https://storage.yandexcloud.net/garbage-images/DJI_0049-725.jpg,"((0.2340386227029512, 0.31147921584474914), (0.48768969942929613, 0.5978998909321496)) ((0.44110696757895435, 0.47649302813580663), (0.18483321809495945, 0.2327439227547795)) ((0.47588283915927454, 0.49296822704356547), (0.3401121454540829, 0.35996487757615797)) ((0.23635834448696172, 0.2505503492012519), (0.6076821600307851, 0.6345755218246152))"
67,https://storage.yandexcloud.net/garbage-images/DJI_0024-2375.jpg,"((0.6926132043081679, 0.7589411798141037), (0, 0.0970387889953623))"
68,https://storage.yandexcloud.net/garbage-images/DJI_0060-2475.jpg,"((0.42111056892476156, 0.489525536858033), (0.6673191056233354, 0.7539889764836186))"
69,https://storage.yandexcloud.net/garbage-images/DJI_0018-925.jpg,"((0.2197202490318566, 0.3427289792553145), (0.7639300481636815, 0.923746831310303)) ((0.620088479329028, 0.6478383865852735), (0.4781112661316941, 0.5257047912785461))"
70,https://storage.yandexcloud.net/garbage-images/DJI_0024-3725.jpg,"((0.5405034234443785, 0.5975968803489198), (0.7184788155346508, 0.8243670387432749))"
71,https://storage.yandexcloud.net/garbage-images/DJI_0034-575.jpg,"((0.6303629621283868, 0.672610417085812), (0.4224440212320475, 0.49127109383470924))"
72,https://storage.yandexcloud.net/garbage-images/DJI_0060-3025.jpg,"((0.37085152353705686, 0.440320290914258), (0.14929670018788144, 0.24856690944596643)) ((0.3718492670743112, 0.3952487525107963), (0.514613524281903, 0.5566875735907884))"
73,https://storage.yandexcloud.net/garbage-images/DJI_0008-925.jpg,"((0.25863393341396623, 0.3600631545600205), (0.8724095581305714, 1))"
74,https://storage.yandexcloud.net/garbage-images/DJI_0024-575.jpg,"((0.8188767320634702, 0.8710732102840447), (0.7944426100397685, 0.8636616335020386)) ((0.3490408123737713, 0.4128026410738709), (0.44117432595230743, 0.548702335946342)) ((0.2985672469587662, 0.327416322609616), (0.6958568016888064, 0.7554553674815976))"
75,https://storage.yandexcloud.net/garbage-images/DJI_0034-950.jpg,"((0.2774183845731314, 0.3115128219071938), (0.8705079361323689, 0.9897027132067101))"
77,https://storage.yandexcloud.net/garbage-images/DJI_0102-850.jpg,"((0.14376396552934326, 0.2770422385938784), (0.3960182807774499, 0.6298831363501484))"
78,https://storage.yandexcloud.net/garbage-images/DJI_0008-850.jpg,"((0.2655169203994461, 0.3728295353601277), (0.5611920949393862, 0.774383814107868))"
79,https://storage.yandexcloud.net/garbage-images/DJI_0024-400.jpg,"((0.12870443969998, 0.18408573845295442), (0.35435301458325447, 0.4814066654008346))"
81,https://storage.yandexcloud.net/garbage-images/DJI_0018-850.jpg,"((0.33258632533527843, 0.3615523441990512), (0.9414247754879226, 0.9994910626351823))"
83,https://storage.yandexcloud.net/garbage-images/DJI_0024-3650.jpg,"((0.53348617817808, 0.5892565727068366), (0.5870843104829003, 0.696295075713508))"
84,https://storage.yandexcloud.net/garbage-images/DJI_0049-650.jpg,"((0.14520972175157193, 0.2261027335366542), (0.42673772599878307, 0.5352716921209193))"
85,https://storage.yandexcloud.net/garbage-images/DJI_0102-1025.jpg,"((0.4433281317764921, 0.5435592036179409), (0.19828126088321354, 0.4184501635881186))"
89,https://storage.yandexcloud.net/garbage-images/DJI_0080-1400.jpg,"((0.4489795790794475, 0.5744084283199655), (0.2608735606760624, 0.38000034577576836))"
90,https://storage.yandexcloud.net/garbage-images/DJI_0097-1200.jpg,"((0.28236031307252857, 0.343197901900778), (0.5689609343784429, 0.6859629544293577))"
91,https://storage.yandexcloud.net/garbage-images/DJI_0042-750.jpg,"((0.6102688358629328, 0.64922346162279), (0.5342550122166204, 0.6184694519228138)) ((0.337138792815666, 0.3521016095466096), (0.8063244115516421, 0.8392055487517156)) ((0.34659449535895365, 0.3819379482033161), (0.7349977937829458, 0.7813407003326514))"
92,https://storage.yandexcloud.net/garbage-images/DJI_0018-1775.jpg,"((0.22060563084215098, 0.2901315879802896), (0.3941261489343063, 0.5569648856756624))"
93,https://storage.yandexcloud.net/garbage-images/DJI_0063-1100.jpg,"((0.33382755824230664, 0.41110773864575856), (0.5374878035224999, 0.678255858896257))"
94,https://storage.yandexcloud.net/garbage-images/DJI_0027-300.jpg,"((0.4787668786588172, 0.5177817792062221), (0.5084631164022602, 0.5728209016306015)) ((0.07141812255552656, 0.10041515615182282), (0.751056803250959, 0.8354829383662948))"
95,https://storage.yandexcloud.net/garbage-images/DJI_0013-950.jpg,"((0.1924101829379395, 0.27304083687257674), (0.754346215223411, 0.8676051859080043))"
96,https://storage.yandexcloud.net/garbage-images/DJI_0037-300.jpg,"((0.604631226240699, 0.6289479929004301), (0.5083132103592213, 0.5494085460141671))"
99,https://storage.yandexcloud.net/garbage-images/DJI_0042-150.jpg,"((0.5377941666687969, 0.5596006391791439), (0.3974708593450422, 0.44175617906540326)) ((0.5267944415972058, 0.5567059746866199), (0.4513684965240862, 0.4719663196498356)) ((0.2546959792999552, 0.28788813214756304), (0.6192407549989433, 0.6669590452402625)) ((0.24378604243253044, 0.2580248434663577), (0.6966717229667968, 0.7279618188609471)) ((0.3137948680521246, 0.3219857670030266), (0.28498652219515413, 0.30623615697348106))"
100,https://storage.yandexcloud.net/garbage-images/DJI_0018-1175.jpg,"((0.4311035350191976, 0.44738508368026436), (0.03646385877679471, 0.07110709616522339)) ((0.25168725369528583, 0.33245650489626394), (0.0557732042064107, 0.24659497080496867))"
101,https://storage.yandexcloud.net/garbage-images/DJI_0097-675.jpg,"((0.22017650770858044, 0.2856811862835959), (0.07194263299679114, 0.21108350447490634))"
102,https://storage.yandexcloud.net/garbage-images/DJI_0034-4000.jpg,"((0.4665450874122366, 0.48400385589070893), (0.361019207461207, 0.3871475598858815)) ((0.15090163825382474, 0.17861396917203476), (0.3910914621386625, 0.4246146312873014))"
103,https://storage.yandexcloud.net/garbage-images/DJI_0071-1650.jpg,"((0.0027366410084782872, 0.34129707934301295), (0.22914307082129684, 0.9178903846379671))"
104,https://storage.yandexcloud.net/garbage-images/DJI_0102-50.jpg,"((0.3144114921223355, 0.4720935022139841), (0.15051639305761058, 0.3642367716479955))"
107,https://storage.yandexcloud.net/garbage-images/DJI_0037-925.jpg,"((0.0996545536371507, 0.14405103796000718), (0.4916484652058525, 0.5791084415635249))"
108,https://storage.yandexcloud.net/garbage-images/DJI_0013-375.jpg,"((0.447194282730002, 0.502157072384452), (0.2010229550328216, 0.26597244764409306))"
110,https://storage.yandexcloud.net/garbage-images/DJI_0080-750.jpg,"((0.7205746061167748, 0.8160333642261353), (0.222574508560558, 0.33798351299936585))"
111,https://storage.yandexcloud.net/garbage-images/DJI_0089-425.jpg,"((0.3433734939759036, 0.46292863762743275), (0.18970355104629041, 0.3430326569435637))"
112,https://storage.yandexcloud.net/garbage-images/DJI_0063-50.jpg,"((0.440630041533656, 0.4728100435931761), (0.6735893867869137, 0.7403770050964089)) ((0.43794837469536263, 0.4882296279133629), (0.33077278248797654, 0.430821694836526))"
113,https://storage.yandexcloud.net/garbage-images/DJI_0060-375.jpg,"((0.6713639471360169, 0.6879174461378277), (0.4400162237463317, 0.4823474412595149))"
114,https://storage.yandexcloud.net/garbage-images/DJI_0013-600.jpg,"((0.471580409958924, 0.550913053925102), (0.28766644079748355, 0.3949331143292173))"
115,https://storage.yandexcloud.net/garbage-images/DJI_0034-1425.jpg,"((0.6201861100622813, 0.647887356048124), (0.25584703988142304, 0.29560157458945596))"
116,https://storage.yandexcloud.net/garbage-images/DJI_0034-5125.jpg,"((0.30500674179556375, 0.3419860761728232), (0.5810225959066936, 0.6155711796410556)) ((0.4518599257973421, 0.46729015165260146), (0.6008998632607101, 0.6307157642917348)) ((0.568295886881024, 0.5852623558774595), (0.3301842842404429, 0.3642362851736399))"
117,https://storage.yandexcloud.net/garbage-images/DJI_0071-1325.jpg,"((0.3526413345690454, 0.7669138090824837), (0.2117549143944198, 0.8415583386176283)) ((0.49814643188137153, 0.7465245597775717), (0.7310954343690551, 0.9932387444514901))"
118,https://storage.yandexcloud.net/garbage-images/DJI_0018-1825.jpg,"((0.6508680337049368, 0.6752016772375987), (0.2438639983368605, 0.28847742062031967)) ((0.3521119350252902, 0.3776512214762447), (0.21922120981561036, 0.26016087802120064)) ((0.3487436213305054, 0.41945612399215426), (0.4303258393390758, 0.6004022197365605)) ((0.30436858602573336, 0.3242530013130445), (0.4849618181895039, 0.534176883577961))"
119,https://storage.yandexcloud.net/garbage-images/DJI_0042-800.jpg,"((0.48343230471744525, 0.525445085184041), (0.03012948480080162, 0.13746672851249048)) ((0.5843998545821462, 0.6428867289850284), (0.6199749702391436, 0.7317845991054861))"
121,https://storage.yandexcloud.net/garbage-images/DJI_0089-2225.jpg,"((0.42450698387576324, 0.4913389901412638), (0.5394111528337938, 0.6583017745061054))"
122,https://storage.yandexcloud.net/garbage-images/DJI_0008-2375.jpg,"((0.887689916188052, 0.9656605901644694), (0.699583240364547, 0.849847776089274))"
123,https://storage.yandexcloud.net/garbage-images/DJI_0024-975.jpg,"((0.29084297134476206, 0.3855216468875546), (0.5575749985988896, 0.6896756893459024))"
124,https://storage.yandexcloud.net/garbage-images/DJI_0042-2050.jpg,"((0.5089752140168821, 0.5748789979731396), (0.14255865369908233, 0.2730080858117575))"
125,https://storage.yandexcloud.net/garbage-images/DJI_0018-525.jpg,"((0.37623942379512393, 0.4727745439564025), (0.21026025770692638, 0.4034575179244327))"
126,https://storage.yandexcloud.net/garbage-images/DJI_0034-975.jpg,"((0.25838121273878933, 0.3280793243727344), (0.8800446483485129, 0.9898637180779077))"
127,https://storage.yandexcloud.net/garbage-images/DJI_0064-200.jpg,"((0.3084791952203803, 0.5451758840773615), (0.3082349471760472, 0.5328061214459692))"
128,https://storage.yandexcloud.net/garbage-images/DJI_0060-2875.jpg,"((0.0939260875288659, 0.11104824384085818), (0.5978779334003687, 0.6265456180242864))"
129,https://storage.yandexcloud.net/garbage-images/DJI_0075-775.jpg,"((0.011448056262599893, 0.03743828092140568), (0.5900497499036402, 0.6940790438669128))"
130,https://storage.yandexcloud.net/garbage-images/DJI_0060-2450.jpg,"((0.41615298309257565, 0.4699898770286733), (0.6142682119736097, 0.7496714199892979))"
132,https://storage.yandexcloud.net/garbage-images/DJI_0265-575.jpg,"((0.860782166979988, 0.9165012030924801), (0.97950478645485, 1))"
133,https://storage.yandexcloud.net/garbage-images/DJI_0034-2825.jpg,"((0.04241970984188391, 0.06674393315200298), (0.33454850907528433, 0.36539097050198965)) ((0.04888891816904324, 0.05820457816015267), (0.3745976754054838, 0.3934714204576467))"
134,https://storage.yandexcloud.net/garbage-images/DJI_0080-650.jpg,"((0.7872230521357394, 0.8863416744411438), (0.25168287706136766, 0.3769677173881157)) ((0.9396272495902896, 0.9716731199597061), (0.27620953892427597, 0.32128556613178316))"
135,https://storage.yandexcloud.net/garbage-images/DJI_0089-525.jpg,"((0.3573257237259238, 0.44427188364294523), (0.17891097945230333, 0.33855524247889135))"
136,https://storage.yandexcloud.net/garbage-images/DJI_0079-100.jpg,"((0.383804833912365, 0.5149693265871857), (0.7331663273205603, 0.9273909739646722))"
137,https://storage.yandexcloud.net/garbage-images/DJI_0071-700.jpg,"((0.5501124675904462, 0.8049889249472003), (0.30516664115894326, 0.991250290567325)) ((0.4621118806261672, 0.5695108469950233), (0.6284656011701073, 0.9933472164046154))"
139,https://storage.yandexcloud.net/garbage-images/DJI_0089-900.jpg,"((0.21255778392104563, 0.30310599903462937), (0.17444336002390928, 0.30105396585676036))"
140,https://storage.yandexcloud.net/garbage-images/DJI_0034-3050.jpg,"((0.13181279636550874, 0.1553175866208543), (0.3740461137448099, 0.40972209524584957))"
141,https://storage.yandexcloud.net/garbage-images/DJI_0034-2400.jpg,"((0.007367227185539618, 0.03575986373251667), (0.16194972204710903, 0.20063066973192806))"
143,https://storage.yandexcloud.net/garbage-images/DJI_0080-750.jpg,"((0.727062094531974, 0.8160333642261353), (0.2110336081166772, 0.3346861128725428))"
144,https://storage.yandexcloud.net/garbage-images/DJI_0089-425.jpg,"((0.3526413345690454, 0.4406858202038924), (0.19959575142675967, 0.33808655675332905))"
145,https://storage.yandexcloud.net/garbage-images/DJI_0063-50.jpg,"((0.4369786839666357, 0.48702502316960145), (0.34148700063411536, 0.4189759036144578)) ((0.44253938832252077, 0.4666357738646895), (0.6827679137603043, 0.7256341154090045))"
146,https://storage.yandexcloud.net/garbage-images/DJI_0060-375.jpg,"((0.6742354031510658, 0.6890639481000926), (0.4553503487634749, 0.47843214965123654))"
147,https://storage.yandexcloud.net/garbage-images/DJI_0013-600.jpg,"((0.4675625579240037, 0.5426320667284522), (0.2887447224796622, 0.4073730820718772))"
148,https://storage.yandexcloud.net/garbage-images/DJI_0034-1425.jpg,"((0.6232622798887859, 0.6482854494902688), (0.25936112872542805, 0.2939838300570704))"
149,https://storage.yandexcloud.net/garbage-images/DJI_0034-5125.jpg,"((0.3109360518999073, 0.3433734939759036), (0.5776632847178186, 0.6139346861128725)) ((0.5685820203892493, 0.5945319740500463), (0.3336556753329106, 0.35508877615726064))"
150,https://storage.yandexcloud.net/garbage-images/DJI_0071-1325.jpg,"((0.39002162496138393, 0.7630522088353412), (0.19471834707250052, 0.8088591206932995))"
151,https://storage.yandexcloud.net/garbage-images/DJI_0018-1825.jpg,"((0.3461538461538461, 0.4165894346617238), (0.4327837666455294, 0.5976537729866835)) ((0.6464318813716404, 0.6770157553290083), (0.25142675967025996, 0.29923906150919466))"
152,https://storage.yandexcloud.net/garbage-images/DJI_0042-800.jpg,"((0.4814643188137164, 0.5240963855421686), (0.035550095117311345, 0.12787729866835765)) ((0.5889712696941611, 0.6334569045412418), (0.6323795180722891, 0.7164632213062777)) ((0.3192771084337349, 0.3572752548656163), (0.8566027266962587, 0.9505786303107165))"
154,https://storage.yandexcloud.net/garbage-images/DJI_0265-575.jpg,"((0.8689074635149959, 0.9091530347385757), (0.9800902044125133, 1))"
155,https://storage.yandexcloud.net/garbage-images/DJI_0034-2825.jpg,"((0.7886978588352375, 0.8035334741888105), (0.22836684414081906, 0.25061873614792224))"
156,https://storage.yandexcloud.net/garbage-images/DJI_0080-650.jpg,"((0.7810988682975133, 0.8831002630742204), (0.24023556872914173, 0.37715169930645015))"
157,https://storage.yandexcloud.net/garbage-images/DJI_0089-525.jpg,"((0.3526930102353428, 0.4769492547815135), (0.19311222747355755, 0.34982346126686237))"
158,https://storage.yandexcloud.net/garbage-images/DJI_0079-100.jpg,"((0.3786570016330501, 0.5094042440286476), (0.7291196351225339, 0.9369682188904959))"
159,https://storage.yandexcloud.net/garbage-images/DJI_0071-700.jpg,"((0.5659686538593671, 0.7857352953328182), (0.33145800775034684, 0.9896451896822269))"
160,https://storage.yandexcloud.net/garbage-images/DJI_0060-275.jpg,"((0.6676421764352635, 0.6968568192628217), (0.6623242963837712, 0.7407072587104109))"
161,https://storage.yandexcloud.net/garbage-images/DJI_0089-900.jpg,"((0.20989105754795268, 0.308183310696416), (0.19184754703585344, 0.3106181663318318))"
162,https://storage.yandexcloud.net/garbage-images/DJI_0034-3050.jpg,"((0.12458080009834296, 0.19505449103497707), (0.36082074922156326, 0.4383515701508824))"
163,https://storage.yandexcloud.net/garbage-images/DJI_0034-2400.jpg,"((0.004960982587477187, 0.06801639026762349), (0.14543903063000974, 0.2444145467099917))"
165,https://storage.yandexcloud.net/garbage-images/DJI_0042-150.jpg,"((0.23586654309545876, 0.29981464318813716), (0.5902346227013316, 0.7748890298034242)) ((0.5129749768303985, 0.6130676552363299), (0.3396322130627774, 0.5143944197844007)) ((0.13577386468952735, 0.20342910101946243), (0.20773620798985415, 0.2918199112238427)) ((0.04958294717330862, 0.10333642261353103), (0.5556119213696892, 0.606721623335447))"
166,https://storage.yandexcloud.net/garbage-images/DJI_0018-1175.jpg,"((0.24068067140356297, 0.34816187828236017), (0.04873969562460367, 0.2559721341506376)) ((0.41509628256616204, 0.45886108536710946), (0.012101916437680528, 0.07965282181357006))"
167,https://storage.yandexcloud.net/garbage-images/DJI_0097-675.jpg,"((0.1969416126042632, 0.29610750695088045), (0.06120798985415345, 0.21783449587824982))"
168,https://storage.yandexcloud.net/garbage-images/DJI_0034-4000.jpg,"((0.1422613531047266, 0.18582020389249304), (0.37786144578313247, 0.43721464806594795))"
169,https://storage.yandexcloud.net/garbage-images/DJI_0071-1650.jpg,"((0.03382761816496756, 0.3702502316960148), (0.008655675332910588, 0.47194039315155356)) ((0.0041705282669138085, 0.3656163113994439), (0.2163918833227647, 0.936873811033608))"
170,https://storage.yandexcloud.net/garbage-images/DJI_0102-50.jpg,"((0.3016682113067655, 0.49258572752548657), (0.15714172479391247, 0.3714727330374128))"
172,https://storage.yandexcloud.net/garbage-images/DJI_0034-1150.jpg,"((0.33317886932344765, 0.41473586654309536), (0.14086081166772355, 0.32221781864299304))"
173,https://storage.yandexcloud.net/garbage-images/DJI_0037-925.jpg,"((0.1005560704355885, 0.16543095458758109), (0.4805960684844642, 0.5877615726062143)) ((0.21265118710767456, 0.31115986341849916), (0.6252116927575139, 0.7689997957234894))"
174,https://storage.yandexcloud.net/garbage-images/DJI_0013-375.jpg,"((0.4147358665430954, 0.5157553290083411), (0.17063124292039955, 0.3090309957779837))"
176,https://storage.yandexcloud.net/garbage-images/DJI_0079-350.jpg,"((0.46941612604263205, 0.5750695088044485), (0.7386176284083702, 0.908433734939759))"
177,https://storage.yandexcloud.net/garbage-images/DJI_0080-400.jpg,"((0.7151683657707754, 0.813639172072907), (0.2173192771084337, 0.3604356020573522))"
178,https://storage.yandexcloud.net/garbage-images/DJI_0071-550.jpg,"((0.0707060678681442, 0.34433052795470204), (0.40718012452063573, 0.9959726710631331))"
180,https://storage.yandexcloud.net/garbage-images/DJI_0089-1850.jpg,"((0.3689674563639172, 0.4035358179512924), (0.25415652467325434, 0.34639946848798703))"
181,https://storage.yandexcloud.net/garbage-images/DJI_0008-1900.jpg,"((0.00046339202965708985, 0.029193697868396665), (0.4852330374128091, 0.6566978440076093))"
183,https://storage.yandexcloud.net/garbage-images/DJI_0083-1700.jpg,"((0.35232108395595674, 0.41750048627558667), (0.6140517234630529, 0.6935607928791188))"
184,https://storage.yandexcloud.net/garbage-images/DJI_0049-1575.jpg,"((0.296198132305844, 0.34997942387945485), (0.5766873041991637, 0.6601151081635837))"
185,https://storage.yandexcloud.net/garbage-images/DJI_0102-250.jpg,"((0.34800741427247445, 0.47405004633920295), (0.7725190234622701, 0.9909717818642992))"
187,https://storage.yandexcloud.net/garbage-images/DJI_0037-400.jpg,"((0.3741049270962365, 0.4139637719279915), (0.4773272799457484, 0.560425058537558))"
188,https://storage.yandexcloud.net/garbage-images/DJI_0080-1300.jpg,"((0.49511024048277025, 0.6101613834946668), (0.398581559686584, 0.5303106091518845))"
